timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616099574251,19927,User Controller,200,,Load Testing 1-880,,true,,598,463,1000,1000,null,0,0,0
1616099574335,247,Create User (signup),201,,Load Testing 1-880,text,true,,337,240,985,985,http://localhost:8082/users/create,247,0,1
1616099575006,19172,Login User,200,,Load Testing 1-880,text,true,,261,223,1000,1000,http://localhost:8082/users/login,19172,0,0
1616099574297,19896,User Controller,200,,Load Testing 1-898,,true,,598,463,999,999,null,0,0,0
1616099574297,281,Create User (signup),201,,Load Testing 1-898,text,true,,337,240,983,983,http://localhost:8082/users/create,280,0,1
1616099575006,19187,Login User,200,,Load Testing 1-898,text,true,,261,223,999,999,http://localhost:8082/users/login,19187,0,0
1616099574213,20241,User Controller,200,,Load Testing 1-873,,true,,598,463,998,998,null,0,0,0
1616099574213,358,Create User (signup),201,,Load Testing 1-873,text,true,,337,240,981,981,http://localhost:8082/users/create,358,0,2
1616099575007,19447,Login User,200,,Load Testing 1-873,text,true,,261,223,998,998,http://localhost:8082/users/login,19447,0,0
1616099573609,20961,User Controller,200,,Load Testing 1-524,,true,,598,463,997,997,null,0,0,0
1616099573751,1256,Create User (signup),201,,Load Testing 1-524,text,true,,337,240,1000,1000,http://localhost:8082/users/create,1256,0,60
1616099575007,19563,Login User,200,,Load Testing 1-524,text,true,,261,223,997,997,http://localhost:8082/users/login,19563,0,0
1616099573894,20679,User Controller,200,,Load Testing 1-692,,true,,74826,642,996,996,null,0,0,0
1616099573980,456,Create User (signup),201,,Load Testing 1-692,text,true,,337,240,921,921,http://localhost:8082/users/create,456,0,1
1616099574824,13932,Login User,200,,Load Testing 1-692,text,true,,261,223,1000,1000,http://localhost:8082/users/login,13932,0,0
1616099588756,5817,Read All Users,200,,Load Testing 1-692,text,true,,74228,179,996,996,http://localhost:8082/users/read,5815,0,0
1616099574487,20131,User Controller,200,,Load Testing 1-946,,true,,598,463,995,995,null,0,0,0
1616099574488,109,Create User (signup),201,,Load Testing 1-946,text,true,,337,240,987,987,http://localhost:8082/users/create,109,0,0
1616099575007,19611,Login User,200,,Load Testing 1-946,text,true,,261,223,995,995,http://localhost:8082/users/login,19611,0,0
1616099574448,20330,User Controller,200,,Load Testing 1-921,,true,,598,463,994,994,null,0,0,0
1616099574448,147,Create User (signup),201,,Load Testing 1-921,text,true,,337,240,986,986,http://localhost:8082/users/create,147,0,0
1616099575008,19770,Login User,200,,Load Testing 1-921,text,true,,261,223,994,994,http://localhost:8082/users/login,19770,0,0
1616099573860,20992,User Controller,200,,Load Testing 1-212,,true,,598,463,993,993,null,0,0,0
1616099573905,997,Create User (signup),201,,Load Testing 1-212,text,true,,337,240,1000,1000,http://localhost:8082/users/create,997,0,0
1616099575008,19844,Login User,200,,Load Testing 1-212,text,true,,261,223,993,993,http://localhost:8082/users/login,19844,0,0
1616099574450,20404,User Controller,200,,Load Testing 1-940,,true,,598,463,992,992,null,0,0,0
1616099574450,145,Create User (signup),201,,Load Testing 1-940,text,true,,337,240,986,986,http://localhost:8082/users/create,145,0,1
1616099575008,19846,Login User,200,,Load Testing 1-940,text,true,,261,223,992,992,http://localhost:8082/users/login,19846,0,0
1616099574482,20411,User Controller,200,,Load Testing 1-948,,true,,598,463,991,991,null,0,0,0
1616099574485,124,Create User (signup),201,,Load Testing 1-948,text,true,,337,240,988,988,http://localhost:8082/users/create,124,0,0
1616099575008,19885,Login User,200,,Load Testing 1-948,text,true,,261,223,991,991,http://localhost:8082/users/login,19885,0,0
1616099573963,20958,User Controller,200,,Load Testing 1-718,,true,,598,463,990,990,null,0,0,0
