timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616107604308,2009,User Controller,201,,SPIKE 1-999,,true,,337,242,1000,1000,null,0,0,0
1616107604513,1804,Create User (signup),201,,SPIKE 1-999,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1804,0,610
1616107604324,1622,User Controller,201,,SPIKE 1-981,,true,,337,242,999,999,null,0,0,0
1616107604510,1436,Create User (signup),201,,SPIKE 1-981,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1435,0,644
1616107604332,1608,User Controller,201,,SPIKE 1-976,,true,,337,242,999,999,null,0,0,0
1616107604512,1428,Create User (signup),201,,SPIKE 1-976,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1427,0,609
1616107604335,1182,User Controller,201,,SPIKE 1-970,,true,,337,242,997,997,null,0,0,0
1616107604516,1001,Create User (signup),201,,SPIKE 1-970,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1001,0,94
1616107604315,1621,User Controller,201,,SPIKE 1-991,,true,,337,242,997,997,null,0,0,0
1616107604514,1422,Create User (signup),201,,SPIKE 1-991,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1422,0,607
1616107604335,1188,User Controller,201,,SPIKE 1-971,,true,,337,242,995,995,null,0,0,0
1616107604522,1001,Create User (signup),201,,SPIKE 1-971,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1001,0,86
1616107604354,1600,User Controller,201,,SPIKE 1-951,,true,,337,242,994,994,null,0,0,0
1616107604516,1438,Create User (signup),201,,SPIKE 1-951,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1438,0,607
1616107604328,1560,User Controller,201,,SPIKE 1-978,,true,,337,242,993,993,null,0,0,0
1616107604520,1368,Create User (signup),201,,SPIKE 1-978,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1368,0,88
1616107604308,1174,User Controller,201,,SPIKE 1-998,,true,,336,242,992,992,null,0,0,0
1616107604513,969,Create User (signup),201,,SPIKE 1-998,text,true,,336,242,1000,1000,http://localhost:8082/users/create,965,0,96
1616107604320,1581,User Controller,201,,SPIKE 1-988,,true,,337,242,991,991,null,0,0,0
1616107604507,1394,Create User (signup),201,,SPIKE 1-988,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1394,0,647
1616107604332,1150,User Controller,201,,SPIKE 1-975,,true,,336,242,991,991,null,0,0,0
1616107604522,960,Create User (signup),201,,SPIKE 1-975,text,true,,336,242,1000,1000,http://localhost:8082/users/create,956,0,86
1616107604311,1597,User Controller,201,,SPIKE 1-995,,true,,337,242,991,991,null,0,0,0
1616107604511,1397,Create User (signup),201,,SPIKE 1-995,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1397,0,611
1616107604387,1107,User Controller,201,,SPIKE 1-938,,true,,337,242,988,988,null,0,0,0
1616107604521,973,Create User (signup),201,,SPIKE 1-938,text,true,,337,242,1000,1000,http://localhost:8082/users/create,971,0,88
1616107604311,1604,User Controller,201,,SPIKE 1-994,,true,,337,242,987,987,null,0,0,0
1616107604512,1403,Create User (signup),201,,SPIKE 1-994,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1402,0,610
1616107604318,1601,User Controller,201,,SPIKE 1-989,,true,,337,242,986,986,null,0,0,0
1616107604511,1408,Create User (signup),201,,SPIKE 1-989,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1407,0,611
1616107604326,1450,User Controller,201,,SPIKE 1-979,,true,,337,242,985,985,null,0,0,0
1616107604514,1262,Create User (signup),201,,SPIKE 1-979,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1262,0,609
1616107604387,1392,User Controller,201,,SPIKE 1-925,,true,,337,242,984,984,null,0,0,0
1616107604516,1263,Create User (signup),201,,SPIKE 1-925,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1263,0,606
1616107604337,1451,User Controller,201,,SPIKE 1-968,,true,,337,242,983,983,null,0,0,0
1616107604518,1270,Create User (signup),201,,SPIKE 1-968,text,true,,337,242,1000,1000,http://localhost:8082/users/create,1270,0,604
1616107604398,1085,User Controller,201,,SPIKE 1-906,,true,,336,242,982,982,null,0,0,0
1616107604510,973,Create User (signup),201,,SPIKE 1-906,text,true,,336,242,1000,1000,http://localhost:8082/users/create,968,0,131
1616107604419,1376,User Controller,201,,SPIKE 1-893,,true,,337,242,981,981,null,0,0,0
